Agent,Reward,Migration Ratio,CPU,Average Slowdown
bestfit,ut,0.000,0.761,0.000
ppo,kl,0.001,0.761,0.044
ppo,wr,0.000,0.744,0.000
ppo,wr,0.001,0.764,0.044
ppo,ut,0.000,0.744,0.000
ppo,ut,0.001,0.764,0.048
ppo,kl,0.000,0.744,0.000
bestfit,ut,0.001,0.761,0.000
ppo,wr,0.002,0.769,0.087
ppo,kl,0.003,0.774,0.121
ppo,kl,0.002,0.770,0.089
ppo,ut,0.003,0.774,0.122
ppo,wr,0.003,0.772,0.117
bestfit,ut,0.002,0.761,0.000
ppo,ut,0.002,0.770,0.091
bestfit,ut,0.003,0.761,0.000
ppo,wr,0.004,0.774,0.139
bestfit,ut,0.004,0.761,0.000
ppo,ut,0.004,0.775,0.146
ppo,kl,0.004,0.774,0.146
ppo,wr,0.005,0.775,0.156
ppo,kl,0.005,0.776,0.158
ppo,ut,0.005,0.776,0.161
bestfit,ut,0.005,0.761,0.000
ppo,wr,0.006,0.776,0.167
ppo,kl,0.007,0.777,0.179
bestfit,ut,0.006,0.761,0.000
ppo,ut,0.007,0.778,0.183
bestfit,ut,0.007,0.761,0.000
ppo,kl,0.006,0.776,0.170
ppo,wr,0.007,0.778,0.177
ppo,ut,0.006,0.776,0.171
ppo,wr,0.008,0.777,0.182
bestfit,ut,0.008,0.761,0.000
ppo,kl,0.009,0.776,0.190
bestfit,ut,0.009,0.761,0.000
ppo,wr,0.009,0.776,0.190
ppo,kl,0.008,0.776,0.186
ppo,ut,0.009,0.776,0.193
ppo,ut,0.008,0.777,0.185
