Wall time,Step,Value
1681972105.4943526,0,-949.4180297851562
1681972109.320279,3,-1044.0738525390625
1681972110.5862885,4,-1363.609619140625
1681972118.1964743,10,-1254.9027099609375
1681972119.4867558,11,-1460.879150390625
1681972123.3687067,14,-1098.8109130859375
1681972124.6630342,15,-1451.891845703125
1681972128.575542,18,-1419.4605712890625
1681972129.865719,19,-1302.1866455078125
1681972131.1685736,20,-1395.1466064453125
1681972133.7730792,22,-1054.0042724609375
1681972135.0544748,23,-1246.5303955078125
1681972138.9521713,26,-1235.26171875
1681972140.2528706,27,-1170.79248046875
1681972148.071459,33,-7079.5537109375
1681972151.9644308,36,-1368.3421630859375
1681972153.2832682,37,-1077.4364013671875
1681972154.782646,38,-1103.700439453125
1681972156.0844812,39,-1393.0040283203125
1681972157.4100597,40,-1682.193359375
1681972166.5746806,47,-1720.751708984375
1681972167.9001427,48,-2353.15380859375
1681972169.2134476,49,-1340.6812744140625
1681972171.84587,51,-1354.1693115234375
1681972173.1750963,52,-1542.0697021484375
1681972175.7984548,54,-989.798828125
1681972179.767119,57,-1517.7933349609375
1681972183.7007,60,-948.1974487304688
1681972185.0291893,61,-1001.2676391601562
1681972186.3695724,62,-1203.3780517578125
1681972187.6851208,63,-1190.9871826171875
1681972190.3050015,65,-1275.935546875
1681972191.6284864,66,-1299.4879150390625
1681972192.943244,67,-1160.0924072265625
1681972194.2615502,68,-1203.1387939453125
1681972196.9026222,70,-1084.2659912109375
1681972198.2119067,71,-1635.980224609375
1681972206.393127,77,-1109.779541015625
1681972209.0456257,79,-1165.485107421875
1681972210.3682907,80,-1586.9339599609375
1681972212.9949732,82,-1178.1385498046875
1681972214.3191023,83,-1131.14453125
1681972216.9770772,85,-1137.7470703125
1681972222.2537453,89,-1441.9754638671875
1681972223.5823684,90,-971.3986206054688
1681972230.1650724,95,-1485.623046875
1681972235.4148362,99,-961.7437744140625
1681972236.7302928,100,-1037.5299072265625
1681972240.687243,103,-1066.6429443359375
1681972244.627542,106,-977.8529052734375
1681972245.962584,107,-986.3829345703125
1681972248.6747372,109,-1013.9483032226562
1681972255.944444,114,-1135.4119873046875
1681972258.6092067,116,-1133.9490966796875
1681972265.287263,121,-2027.7392578125
1681972270.5569434,125,-961.4400024414062
1681972271.8725028,126,-1238.3046875
1681972274.5124917,128,-1091.8021240234375
1681972277.133909,130,-973.3070068359375
1681972278.459918,131,-986.4989013671875
1681972279.7791193,132,-1156.071044921875
1681972285.0148137,136,-979.0775146484375
1681972286.3341053,137,-1220.04296875
1681972294.256448,143,-1313.7469482421875
1681972295.5666738,144,-1156.3447265625
1681972298.1893942,146,-1081.316650390625
1681972299.5185158,147,-1055.8170166015625
1681972303.4378738,150,-1176.1666259765625
1681972312.6345208,157,-1452.359619140625
1681972315.2589345,159,-1190.614501953125
1681972316.57611,160,-1139.1092529296875
1681972319.2142367,162,-1551.0894775390625
1681972321.8835664,164,-1220.261474609375
1681972324.506889,166,-1050.8265380859375
1681972329.7426805,170,-1183.4505615234375
1681972331.0455954,171,-1013.1624145507812
1681972332.3539395,172,-974.7054443359375
1681972336.2963438,175,-1055.8409423828125
1681972337.6274905,176,-1072.82177734375
1681972338.941647,177,-1206.6234130859375
1681972340.2456133,178,-1066.279541015625
1681972342.866037,180,-1114.1275634765625
1681972344.1724389,181,-1099.9288330078125
1681972348.136887,184,-994.71240234375
1681972349.492991,185,-978.1411743164062
1681972350.8159168,186,-1161.3096923828125
1681972354.7795591,189,-1042.6063232421875
1681972356.0959857,190,-991.96728515625
1681972357.4197145,191,-1345.1199951171875
1681972358.735519,192,-981.9522094726562
1681972362.6709952,195,-976.6680908203125
1681972367.927567,199,-949.1297607421875
1681972369.2415633,200,-1060.7470703125
1681972371.881689,202,-1363.37548828125
1681972373.1951458,203,-985.258544921875
1681972374.5056648,204,-1073.9598388671875
1681972375.8185756,205,-954.4212646484375
1681972378.4507196,207,-926.1614379882812
1681972381.1038518,209,-930.3460083007812
1681972383.729729,211,-1065.4931640625
1681972386.3606164,213,-1235.166015625
1681972389.0594804,215,-1140.242919921875
1681972390.3823218,216,-1058.077880859375
1681972393.0218124,218,-985.6941528320312
1681972394.3269875,219,-994.216552734375
1681972395.649222,220,-936.5570678710938
1681972396.9622374,221,-965.6594848632812
1681972398.2858496,222,-1086.9736328125
1681972400.916044,224,-1032.191650390625
1681972402.2253516,225,-920.2598876953125
1681972407.490717,229,-2209.498046875
1681972415.4301777,235,-1134.692626953125
1681972418.065809,237,-1102.890380859375
1681972419.3738658,238,-1471.802734375
1681972420.7100947,239,-1509.2900390625
1681972423.312861,241,-1145.49267578125
1681972424.6172144,242,-1037.647705078125
1681972427.2328486,244,-1054.53369140625
1681972428.5532951,245,-1118.3828125
1681972429.879062,246,-897.7804565429688
1681972431.1790004,247,-1008.97705078125
1681972437.8387203,252,-1072.2989501953125
1681972439.178008,253,-918.2655029296875
1681972440.500438,254,-1108.9501953125
1681972444.4862094,257,-1320.4351806640625
1681972445.7963245,258,-1193.5594482421875
1681972447.1016145,259,-1211.3822021484375
1681972448.427813,260,-1296.716552734375
1681972451.0835645,262,-910.4691162109375
1681972462.492449,270,-1020.86474609375
1681972463.7926123,271,-1040.0079345703125
1681972467.7589614,274,-901.1461181640625
1681972469.0844023,275,-1084.4263916015625
1681972470.391496,276,-1199.8135986328125
1681972473.0125484,278,-976.6000366210938
1681972475.6257563,280,-1137.965087890625
1681972478.2372715,282,-1208.798828125
1681972479.5520556,283,-944.5972290039062
1681972482.2017033,285,-990.078857421875
1681972484.8140948,287,-911.4219970703125
1681972486.1322637,288,-996.87109375
1681972488.782982,290,-1324.0545654296875
1681972495.3308406,295,-1373.6517333984375
1681972496.6530223,296,-1155.7064208984375
1681972497.963702,297,-1048.8216552734375
1681972499.2890472,298,-1069.444580078125
1681972507.1952329,304,-1135.517333984375
1681972509.813853,306,-1088.934814453125
1681972512.4351385,308,-1204.8671875
1681972513.741226,309,-951.79638671875
1681972517.6877806,312,-1671.9400634765625
