Wall time,Step,Value
1693888265.925766,0,68059.453125
1693888645.699379,1,70243.078125
1693889019.159946,2,65806.9921875
1693889394.2486,3,65849.328125
1693889773.831626,4,49061.19921875
1693890151.913016,5,51022.16015625
1693890532.365371,6,45813.8359375
1693890915.022779,7,44295.32421875
1693891299.8343208,8,39916.44921875
1693891685.117679,9,40476.9609375
1693892070.502414,10,41360.11328125
1693892454.436957,11,41512.5234375
1693892840.680877,12,38003.12109375
1693893233.98529,13,39766.015625
1693893620.463995,14,31478.080078125
1693894009.225603,15,34013.96484375
1693894406.689864,16,31109.669921875
1693894791.8914251,17,31263.564453125
1693895181.606377,18,32443.73046875
1693895570.9240131,19,26797.33984375
1693895960.151198,20,39719.99609375
1693896347.2074182,21,34344.0859375
1693896734.28576,22,32520.119140625
1693897118.8030772,23,36619.69921875
1693897509.02404,24,30469.775390625
1693897897.8630998,25,38412.9140625
1693898286.115438,26,30964.32421875
1693898671.1511428,27,33857.12890625
1693899056.238142,28,32532.345703125
1693899451.145349,29,32789.96875
1693899838.657248,30,34576.0546875
1693900222.477359,31,36620.33984375
1693900608.4540071,32,35045.9453125
1693900993.8417878,33,37599.37109375
1693901377.398262,34,40808.125
1693901762.863231,35,34333.703125
1693902145.252239,36,36510.25390625
1693902529.070985,37,36829.43359375
1693902914.3363478,38,37758.96875
1693903297.029718,39,37696.9453125
1693903681.513388,40,39048.7734375
1693904066.4281669,41,46360.42578125
1693904451.256403,42,40529.76953125
1693904836.527541,43,41139.25390625
1693905220.56573,44,48723.78515625
1693905604.221096,45,50334.0546875
1693905988.199255,46,43087.32421875
1693906376.650792,47,47226.87109375
1693906768.353482,48,44094.93359375
1693907132.0686898,49,47496.3984375
1693907440.622751,50,48050.8515625
1693907720.715696,51,43417.4609375
1693908007.1338491,52,39421.78515625
1693908293.408879,53,51358.13671875
1693908580.2317922,54,46063.24609375
1693908865.8364642,55,46393.1484375
1693909152.6699572,56,43904.65625
1693909439.202413,57,50823.59375
1693909727.793949,58,46834.56640625
1693910012.197995,59,52767.69140625
1693910296.497738,60,46506.015625
1693910581.879585,61,46582.234375
1693910868.5587919,62,53511.140625
1693911154.780593,63,52089.98828125
1693911440.194144,64,50450.671875
1693911726.4176362,65,49179.48046875
1693912010.532649,66,51152.11328125
1693912294.1684759,67,50790.46484375
1693912581.80976,68,47538.03125
1693912867.703825,69,48464.71484375
1693913153.424653,70,47717.53125
1693913439.638061,71,46673.984375
1693913725.2234318,72,51825.9296875
1693914014.84104,73,48893.63671875
1693914302.4295812,74,43185.48046875
1693914587.573303,75,46597.31640625
1693914873.097565,76,51567.859375
1693915157.0446348,77,54495.86328125
1693915441.2776709,78,48135.3046875
1693915725.201962,79,49180.078125
1693916009.391028,80,47795.890625
1693916293.1202629,81,52460.68359375
1693916576.746637,82,45682.23046875
1693916861.1842072,83,51598.01171875
1693917145.25329,84,55626.59375
1693917429.611259,85,48880.8359375
1693917713.704015,86,55304.66015625
1693917997.256243,87,52599.93359375
1693918281.1602602,88,53508.11328125
1693918564.934556,89,49127.44140625
1693918848.864564,90,51490.98828125
1693919132.3958411,91,50721.11328125
1693919416.381003,92,49431.23046875
1693919700.036009,93,54093.46875
1693919983.7028108,94,52840.96875
1693920267.213961,95,54994.55859375
1693920550.784575,96,52081.3046875
1693920835.391248,97,48482.91015625
1693921109.028866,98,53837.5546875
1693921346.858401,99,49497.19921875
