Wall time,Step,Value
1681957130.153072,5,-522.5661010742188
1681957131.215321,6,-470.49981689453125
1681957135.715084,10,-371.3323974609375
1681957136.788834,11,-477.38214111328125
1681957138.82916,13,-546.0590209960938
1681957139.8512,14,-530.2850952148438
1681957140.879392,15,-547.3932495117188
1681957142.928138,17,-559.3811645507812
1681957143.952826,18,-570.0009765625
1681957144.980324,19,-480.1434631347656
1681957146.0095758,20,-437.1290283203125
1681957150.1500108,24,-450.8033447265625
1681957159.279344,33,-454.30303955078125
1681957160.281724,34,-438.7975769042969
1681957162.338836,36,-391.7265625
1681957165.377043,39,-420.1277160644531
1681957166.394353,40,-717.7273559570312
1681957168.44397,42,-477.2817077636719
1681957170.464737,44,-459.5597839355469
1681957171.469858,45,-400.4619140625
1681957173.4864728,47,-419.72802734375
1681957175.5106912,49,-489.0364074707031
1681957176.52252,50,-388.1148986816406
1681957179.6383822,53,-429.63043212890625
1681957180.739861,54,-435.537841796875
1681957181.862344,55,-536.120849609375
1681957182.944389,56,-448.2997741699219
1681957184.086734,57,-469.7209167480469
1681957187.346345,60,-496.4735412597656
1681957188.485067,61,-674.4983520507812
1681957190.711626,63,-572.0118408203125
1681957192.926663,65,-516.3492431640625
1681957193.971884,66,-461.78558349609375
1681957195.013262,67,-514.2477416992188
1681957196.070522,68,-562.6323852539062
1681957199.22936,71,-448.76556396484375
1681957200.296982,72,-492.5226745605469
1681957201.350522,73,-574.560546875
1681957202.3910248,74,-597.326904296875
1681957204.510271,76,-496.6061706542969
1681957207.611003,79,-492.1512451171875
1681957212.90665,84,-526.8721313476562
1681957213.960201,85,-686.9935913085938
1681957214.9883552,86,-321.847900390625
1681957216.046133,87,-527.9907836914062
1681957217.087687,88,-540.5127563476562
1681957218.133462,89,-444.0566711425781
1681957223.517888,94,-513.060791015625
1681957231.6708539,102,-485.7021179199219
1681957234.813828,105,-440.45147705078125
1681957235.886964,106,-487.39398193359375
1681957243.721919,113,-511.00347900390625
1681957246.996245,116,-428.0993957519531
1681957249.162127,118,-418.4249572753906
1681957250.2552981,119,-406.4242248535156
1681957251.3333619,120,-550.9952392578125
1681957255.747051,124,-448.49639892578125
1681957256.914298,125,-615.8896484375
1681957258.007665,126,-580.6031494140625
1681957261.2318861,129,-459.92193603515625
1681957262.302856,130,-444.0482482910156
1681957265.536255,133,-573.4608154296875
1681957269.8711271,137,-589.0579833984375
1681957272.027927,139,-519.5160522460938
1681957274.2203012,141,-464.45233154296875
1681957275.300062,142,-467.8267517089844
1681957276.447983,143,-512.0326538085938
1681957277.5651221,144,-474.3850402832031
1681957282.097871,148,-416.27630615234375
1681957284.289202,150,-524.8824462890625
1681957287.677801,153,-540.2400512695312
1681957288.7731042,154,-522.6405029296875
1681957289.864522,155,-386.8509521484375
1681957292.0260868,157,-413.12420654296875
1681957293.109843,158,-416.82720947265625
1681957294.186413,159,-466.7902526855469
1681957297.438995,162,-537.5030517578125
1681957299.618036,164,-469.6744689941406
1681957300.7131982,165,-545.6229858398438
1681957302.8916311,167,-459.6728210449219
1681957303.973668,168,-527.2234497070312
1681957307.2003891,171,-579.4666137695312
1681957312.6690948,176,-350.0074157714844
1681957313.7647748,177,-526.0713500976562
1681957314.856094,178,-496.6539611816406
1681957317.037385,180,-517.756591796875
1681957318.130522,181,-525.1965942382812
1681957320.283946,183,-433.50238037109375
1681957322.450398,185,-525.3969116210938
1681957323.553129,186,-396.44927978515625
1681957324.652524,187,-476.1448974609375
1681957325.78111,188,-406.7721862792969
1681957328.091978,190,-484.1450500488281
1681957329.17127,191,-494.14727783203125
1681957336.929211,198,-442.7354431152344
1681957341.281866,202,-501.174560546875
1681957345.632354,206,-442.10028076171875
1681957346.713067,207,-475.8175354003906
1681957347.801242,208,-568.7147827148438
1681957352.199105,212,-484.32391357421875
1681957355.6194592,215,-524.8628540039062
1681957358.903475,218,-439.7939758300781
1681957359.9991732,219,-561.2620239257812
1681957363.323682,222,-559.4227905273438
1681957364.4145432,223,-452.7626953125
1681957366.6028328,225,-499.8426818847656
1681957367.715492,226,-477.8905944824219
1681957368.8271072,227,-454.4880676269531
1681957371.064532,229,-491.4939880371094
1681957372.149767,230,-433.9313049316406
1681957374.322156,232,-468.1199951171875
1681957375.41986,233,-466.3921203613281
1681957376.5051782,234,-436.1512145996094
1681957379.7616699,237,-563.826904296875
1681957383.032332,240,-411.76446533203125
1681957388.466264,245,-472.026611328125
1681957390.741981,247,-409.93719482421875
1681957393.029453,249,-529.472900390625
1681957394.1018372,250,-461.4549255371094
1681957399.730977,255,-467.633056640625
1681957402.999112,258,-491.4747314453125
1681957404.096191,259,-603.5507202148438
1681957405.29505,260,-512.8113403320312
1681957406.4501278,261,-495.2870178222656
1681957408.6567512,263,-498.99859619140625
1681957413.231297,267,-454.8335876464844
1681957415.55619,269,-460.2622375488281
1681957417.830156,271,-408.222412109375
1681957420.017057,273,-487.3514099121094
1681957425.570422,278,-533.033203125
1681957427.746167,280,-512.2857055664062
1681957432.132849,284,-499.3011169433594
1681957437.567446,289,-462.3348083496094
1681957439.7451148,291,-473.2044677734375
1681957440.846088,292,-511.96356201171875
1681957444.10008,295,-463.35467529296875
1681957446.2784069,297,-480.1184387207031
1681957447.352421,298,-427.5888671875
1681957448.4485939,299,-364.8660888671875
1681957450.7194471,301,-520.9998779296875
1681957451.861734,302,-482.0335388183594
1681957452.986194,303,-382.47509765625
1681957457.536142,307,-536.4876098632812
1681957458.616523,308,-560.3588256835938
1681957460.773938,310,-575.7377319335938
1681957464.026154,313,-652.4154052734375
1681957468.392663,317,-491.6066589355469
1681957469.485749,318,-485.6649475097656
1681957470.568851,319,-610.3089599609375
1681957471.6560981,320,-441.988037109375
1681957473.824768,322,-478.9877624511719
1681957477.095254,325,-406.3987731933594
1681957478.187413,326,-499.86712646484375
1681957479.2744489,327,-330.89697265625
1681957482.5273862,330,-456.9905090332031
1681957483.610912,331,-509.8211975097656
1681957485.774152,333,-369.1430969238281
1681957492.32048,339,-546.32470703125
1681957494.5031822,341,-376.5218811035156
1681957497.751102,344,-413.7618103027344
1681957498.839266,345,-512.6499633789062
1681957501.0212579,347,-546.4078979492188
1681957502.1182091,348,-568.07861328125
1681957507.544663,353,-514.291259765625
1681957508.6324968,354,-510.58892822265625
1681957510.820478,356,-465.56103515625
1681957513.009621,358,-537.9312133789062
1681957514.100966,359,-447.0498352050781
1681957515.1868951,360,-467.4012451171875
1681957518.438605,363,-600.9339599609375
1681957519.524118,364,-476.536376953125
1681957522.8009431,367,-480.18231201171875
1681957523.893719,368,-483.3072204589844
1681957526.074708,370,-419.7518005371094
1681957527.160361,371,-461.7845458984375
1681957529.324588,373,-536.2495727539062
1681957533.708619,377,-388.1869812011719
1681957534.798312,378,-599.4133911132812
1681957535.902411,379,-564.712890625
1681957538.100426,381,-465.0181579589844
1681957539.181372,382,-545.30810546875
1681957542.4445171,385,-516.4436645507812
1681957543.537795,386,-446.7689514160156
1681957544.6264918,387,-625.5533447265625
1681957545.73321,388,-484.7168273925781
1681957547.917273,390,-581.7835083007812
1681957548.992238,391,-428.97674560546875
1681957550.076122,392,-489.5684814453125
1681957551.161433,393,-596.0828857421875
1681957560.9331222,402,-506.77630615234375
1681957562.0212748,403,-475.08673095703125
1681957564.186696,405,-504.6913146972656
1681957567.470846,408,-503.3312683105469
1681957575.075722,415,-402.4206237792969
1681957576.170362,416,-512.0111083984375
1681957580.482336,420,-573.7671508789062
1681957581.5852768,421,-539.46142578125
1681957582.698816,422,-369.447265625
1681957584.87625,424,-484.38116455078125
1681957587.076812,426,-466.8576965332031
1681957591.431079,430,-464.22308349609375
1681957601.211902,439,-399.8806457519531
1681957602.32747,440,-519.361572265625
1681957603.465109,441,-437.4951171875
1681957604.6206028,442,-387.1437072753906
1681957606.897557,444,-444.8315124511719
1681957608.010828,445,-470.103759765625
1681957611.311459,448,-471.0306701660156
1681957614.670479,451,-574.7428588867188
1681957622.307702,458,-480.7142028808594
1681957623.392595,459,-541.0061645507812
1681957624.476309,460,-486.4345703125
1681957625.572947,461,-452.845458984375
1681957627.743524,463,-469.259521484375
1681957628.818173,464,-478.64996337890625
1681957629.9021,465,-436.6065673828125
1681957632.061104,467,-521.0846557617188
1681957633.145679,468,-593.2483520507812
1681957634.222624,469,-375.0448913574219
1681957636.398276,471,-389.7427673339844
1681957638.590312,473,-396.91937255859375
1681957639.684814,474,-465.9636535644531
1681957644.22926,478,-479.1756591796875
1681957652.320607,485,-450.0470886230469
1681957655.658802,488,-432.4786071777344
1681957656.778689,489,-489.9822998046875
1681957658.975122,491,-486.67572021484375
